Id,Name,Author
"NV 080","മനുഷ്യന് ഒരു ആമുഖം","സുഭാഷ് ചന്ദ്രൻ"
"NV 081",ചെമ്മീൻ,തകഴി
"NV 082","പാലേരി മാണിക്യം","ടി പി രാജീവൻ"
"NV 083",മഞ്ഞ്,"ഓർഹൻ പാമുക്ക്"
"NV 084","ദൽഹി ഗാഥകൾ","എം മുകുന്ദൻ"
"NV 085","സുഷ്മങ്ങൾ അപ്രത്യക്ഷങ്ങൾ","വി യു സുരേന്ദ്രൻ"
"NV 086","വിട പറയും നേരം","ഉസ്മാൻ മൂത്തേടം"
"NV 087","സൂക്ഷിക്കുക അവാർഡ് വരുന്നു","നൈന മണ്ണഞ്ചേരി"
"NV 088","ഫോസിലുകളിൽ ഉണ്ടായിരുന്നത്","കെ പി ഉണ്ണി"
"NV 089",ഏണിപ്പടികൾ,തകഴി
"NV 090","ജീവിതത്തിൻറെ പുസ്തകം","കെ പി രാമനുണ്ണി"
"NV 091",ചെമ്മീൻ,തകഴി
"NV 092","തോട്ടിയുടെ മകൻ",തകഴി
"NV 093",അഗ്നിസാക്ഷി,"ലളിതാംബിക അന്തർജ്ജനം"
"NV 094",അസുരവിത്ത്,"എം ടി"
"NV 095",ബാല്യകാലസഖി,ബഷീർ
"NV 096",ആടുജീവിതം,ബെന്യാമിൻ
"NV 097","ചോലത്തുരിലെ ചായമക്കാനി","അശ്റഫി മമ്പാട്"
"NV 098","മണൽ ജീവികൾ","ജി ആർ ഇന്ദുഗോപൻ"
"NV 099",ബെൻഹർ,സെബാസ്റ്റ്യൻ
"NV 100",ലൈലാമജ്നു,.
"NV 101","മാധവിക്കുട്ടിയുടെ മൂന്ന് നോവലുകൾ",മാധവിക്കുട്ടി
"NV 102","വിസ്മയ കാലങ്ങൾ വിചിത്ര കാലങ്ങൾ","ഹെൻ ഫ്രെഡ്"
"NV 103","അപ്പു മോൻ ഡും ഡും ഗോളത്തിൽ","പി എം നരേന്ദ്രനാഥ്"
"NV 104","അമ്യൂസ്മെൻറ് പാർക്ക്","ഇ സന്തോഷ് കുമാർ"
"NV 105","മല  മടക്കിലെ പോരാളികൾ","എ എം യൂസഫ്"
"NV 106","കടലിലെ ചെകുത്താൻ","അബ്ദുൽ ഖാദർ"
"NV 107",ആൽക്കമിസ്റ്റ്,"പൗലോ കോയിലോ"
